Antoine Coefficients
  log(P) = A-B/(T+C) where P is in mmHg and T is in Celsius
Source of data: Yaws and Yang (Yaws, C.  L.  and Yang, H.  C.,
"To estimate vapor pressure easily. antoine coefficients relate vapor pressure to temperature for almost 700 major organic compounds", Hydrocarbon Processing, 68(10), p65-68, 1989.

ID  formula  compound name                  A       B       C     Tmin Tmax ??    ?
-----------------------------------------------------------------------------------
  1 CCL4     carbon-tetrachloride        6.89410 1219.580 227.170  -20  101 Y2    0
  2 CCL3F    trichlorofluoromethane      6.88430 1043.010 236.860  -33   27 Y2    0
  3 CCL2F2   dichlorodifluoromethane     6.68619  782.072 235.377 -119  -30 Y6    0
  4 CCLF3    chlorotrifluoromethane      6.35109  522.061 231.677 -150  -81 Y6    0
  5 CF4      carbon-tetrafluoride        6.97230  540.500 260.100 -180 -125 Y1    0
  6 CO       carbon-monoxide             6.24020  230.270 260.010 -210 -165 Y2    0
  7 CO2      carbon-dioxide              9.81060 1347.790 273.000 -119  -69 Y2    0
  8 COS      carbonyl-sulfide            6.90723  804.480 250.000 -111  -49 Y5    0
  9 CS2      carbon-disulfide            6.94190 1168.620 241.540  -45   69 Y2    0
 10 CHCL3    chloroform                  6.93710 1171.200 227.000  -13   97 Y2    0
 11 CHCL2F   dichlorofluoromethane       6.97575  996.267 234.172  -91    9 Y6    0
 12 CHCLF2   chlorodifluoromethane       6.75770  740.390 231.860  -48  -33 Y2    0
 13 CHF3     trifluoromethane            7.08860  705.330 249.780 -128  -82 Y4    0
 14 CHI3     triiodomethane              6.59598 1567.8   204.     137  254 N    19
 15 CHNS     isothiocyanic-acid          0.00000    0.000   0.000    0    0 ?     0
 16 CH2CL2   dichloromethane             7.08030 1138.910 231.460  -44   59 Y2    0
 17 CH2CLF   chlorofluoromethane         6.20452  740.39  231.86   -55   12 N    12
 18 CH2F2    difluoromethane             7.13890  821.700 244.700  -82  -32 Y4    0
 19 CH2I2    diiodomethane               6.94246 1567.800 204.000   83  232 Y10   0
 20 CH2O     formaldehyde                7.15610  957.240 243.010  -88   -2 Y2    0
 21 CH2O2    formic-acid                 7.37790 1563.280 247.070   -2  136 Y1    0
 22 CH3BR    bromomethane                6.95970  986.590 238.330  -58   53 Y2    0
